seq,cum_dist,elev,gradient_pct,gradient_smooth,x,y
24,111.9,230.9105987548828,-8.69,14.92,1570961.5744019013,5173114.48208392
25,116.9,240.3245391845703,188.28,-11.75,1570958.7269528522,5173118.592075881
26,121.9,238.3304443359375,-39.88,-16.12,1570955.879503803,5173122.702067841
27,126.1,221.99855041503906,-384.51,-42.64,1570953.4605999999,5173126.1935
28,131.1,226.15870666503906,83.2,-30.61,1570949.092815111,5173128.627109493
29,136.1,232.35987854003906,124.02,-3.92,1570944.7250302222,5173131.060718986
30,141.1,234.74803161621094,47.76,-7.14,1570940.3572453333,5173133.494328479
31,146.1,235.85118103027344,22.06,37.59,1570935.9894604445,5173135.927937972
32,151.1,218.0986785888672,-355.05,46.22,1570931.6216755556,5173138.361547465
33,156.1,224.86587524414062,135.34,69.99,1570927.2538906669,5173140.7951569585
34,161.1,232.08152770996094,144.31,69.64,1570922.886105778,5173143.228766452
35,166.1,229.87704467773438,-44.09,54.09,1570918.5183208892,5173145.662375945
36,166.9,235.02113342285156,680.32,25.28,1570917.8578000003,5173146.0304
37,171.9,237.7760467529297,55.1,36.45,1570913.2558700817,5173147.9854552485
38,176.9,231.6240234375,-123.04,48.26,1570908.6539401633,5173149.9405104965
39,181.9,235.59112548828125,79.34,66.57,1570904.0520102447,5173151.895565745
40,186.9,233.2405548095703,-47.01,30.48,1570899.450080326,5173153.850620993
41,191.9,219.7830352783203,-269.15,36.94,1570894.8481504074,5173155.805676242
42,196.9,227.0283203125,144.91,-24.68,1570890.246220489,5173157.76073149
43,201.9,215.77056884765625,-225.16,-33.37,1570885.6442905704,5173159.715786739
44,206.9,232.6065216064453,336.72,-29.52,1570881.0423606518,5173161.670841987
45,209.1,227.111328125,-252.65,-17.5,1570879.0405000001,5173162.5213
46,214.1,228.46096801757812,26.99,-10.32,1570874.6277482084,5173164.872389455
47,219.1,228.5863494873047,2.51,9.27,1570870.2149964168,5173167.22347891
48,224.1,226.55877685546875,-40.55,-2.45,1570865.802244625,5173169.574568365
49,229.1,222.52757263183594,-80.62,9.84,1570861.3894928335,5173171.92565782
50,234.1,233.10110473632812,211.47,-10.13,1570856.9767410418,5173174.276747275
51,239.1,234.70362854003906,32.05,7.36,1570852.56398925,5173176.627836729
52,244.1,232.0168914794922,-53.73,5.12,1570848.1512374585,5173178.978926185
53,249.1,232.81588745117188,15.98,-24.18,1570843.7384856667,5173181.33001564
54,254.1,228.31808471679688,-89.96,-9.77,1570839.3257338752,5173183.681105095
55,259.1,234.1734161376953,117.11,-6.5,1570834.9129820834,5173186.032194549
56,264.1,231.16091918945312,-60.25,-22.72,1570830.5002302919,5173188.383284004
57,269.1,231.27685546875,2.32,-29.72,1570826.0874785,5173190.73437346
58,272.3,220.86495971679688,-319.78,-19.37,1570823.2138999999,5173192.2654
59,277.3,226.7613983154297,117.93,-20.24,1570818.2975688956,5173193.17627237
60,282.3,224.5309600830078,-44.61,-10.68,1570813.3812377914,5173194.087144739
61,287.3,226.17921447753906,32.97,-26.13,1570808.4649066871,5173194.998017109
62,292.3,223.933349609375,-44.92,-23.87,1570803.5485755831,5173195.908889479
63,296.2,226.2352752685547,60.16,-22.43,1570799.7860000003,5173196.606
64,301.2,226.5563201904297,6.42,-15.54,1570794.979163534,5173197.9823441375
65,306.2,227.31593322753906,15.19,-7.78,1570790.1723270677,5173199.358688275
66,311.2,224.67288208007812,-52.86,-5.8,1570785.3654906014,5173200.735032413
67,316.2,222.90338134765625,-35.39,1.59,1570780.558654135,5173202.111376551
68,321.2,223.8105010986328,18.14,3.23,1570775.7518176686,5173203.487720689
69,326.2,211.60971069335938,-244.02,-11.6,1570770.9449812023,5173204.864064828
70,331.2,221.77493286132812,203.3,-9.63,1570766.138144736,5173206.240408965
71,336.2,220.63523864746094,-22.79,-11.93,1570761.3313082696,5173207.616753103
72,339.9,224.88272094726562,114.3,-12.55,1570757.7587000001,5173208.6397
73,344.9,223.53933715820312,-26.87,-41.93,1570753.0916054891,5173210.433642258
74,349.9,218.3861083984375,-103.06,-44.58,1570748.424510978,5173212.227584516
75,354.9,219.79144287109375,28.11,-23.99,1570743.757416467,5173214.021526773
76,359.9,219.28921508789062,-10.04,-43.16,1570739.0903219557,5173215.815469031
77,364.9,216.30360412597656,-59.71,-38.34,1570734.4232274448,5173217.60941129
78,369.9,198.3750762939453,-358.57,-50.67,1570729.7561329335,5173219.403353548
79,374.9,197.8255157470703,-10.99,-48.63,1570725.0890384226,5173221.197295805
